,CLAGE,CLNO,DEBTINC,DELINQ,DEROG,JOB,LOAN,MORTDUE,NINQ,REASON,VALUE,YOJ
4015,48.49897,10.0,32.921402,0.0,0.0,Other,21000,48735.0,3.0,DebtCon,71694.0,8.0
4219,213.41425,24.0,25.576809,1.0,0.0,Other,22000,15774.0,0.0,DebtCon,60115.0,27.0
4858,135.74062,19.0,28.040792,0.0,0.0,ProfExe,25500,79593.0,0.0,DebtCon,113063.0,9.0
823,233.1716,32.0,39.77509,0.0,0.0,ProfExe,8600,58846.0,3.0,DebtCon,72733.0,14.0
4306,251.358,19.0,25.202707,0.0,0.0,ProfExe,22400,25585.0,0.0,,54049.0,20.0
5522,131.54243,16.0,27.149899,0.0,0.0,ProfExe,34200,119575.0,1.0,DebtCon,175235.0,16.0
5268,123.39674,42.0,42.34547,0.0,0.0,Other,28800,204455.0,1.0,HomeImp,245685.0,8.0
638,184.39003,15.0,37.836716,0.0,0.0,Office,7900,,0.0,HomeImp,35422.0,19.0
1522,267.97012,13.0,22.0892,0.0,0.0,Other,11200,17411.0,0.0,DebtCon,86102.0,10.0
553,83.34671,18.0,23.397635,0.0,0.0,Other,7400,51974.0,0.0,HomeImp,59323.0,4.0
3113,127.8,33.0,,6.0,0.0,Other,16900,63800.0,2.0,DebtCon,85000.0,2.0
5015,139.51054,30.0,38.427444,0.0,0.0,Other,26500,63345.0,0.0,DebtCon,100332.0,16.0
3322,114.66762,19.0,21.933006,0.0,0.0,Office,17700,64964.0,0.0,DebtCon,88856.0,5.0
5159,212.06667,46.0,,0.0,3.0,Mgr,27700,19300.0,0.0,DebtCon,39000.0,12.0
1420,,,40.78053,,,Other,10800,89139.0,,HomeImp,122571.0,8.0
5756,317.4093,18.0,16.145689,0.0,0.0,Office,43900,5149.0,0.0,HomeImp,67021.0,
2714,256.22754,16.0,23.310373,0.0,0.0,ProfExe,15400,32855.0,1.0,DebtCon,69663.0,7.0
5172,105.09866,17.0,32.17786,0.0,1.0,Other,27800,64804.0,1.0,DebtCon,97553.0,15.0
5922,208.29901,24.0,27.761644,0.0,0.0,Self,69600,198702.0,2.0,DebtCon,293252.0,10.0
4732,188.76822,25.0,,0.0,0.0,Other,25000,84000.0,2.0,DebtCon,120000.0,1.5
5271,174.97705,17.0,42.11254,0.0,0.0,Self,28800,151328.0,0.0,HomeImp,194243.0,2.0
3121,128.58182,8.0,28.895954,0.0,0.0,Mgr,16900,43643.0,1.0,DebtCon,80639.0,3.0
5482,138.56665,22.0,39.88756,0.0,0.0,Other,33200,195971.0,0.0,DebtCon,298682.0,29.0
2704,81.62597,9.0,39.007824,0.0,0.0,Office,15300,,1.0,DebtCon,53184.0,1.0
2356,137.84111,35.0,40.28976,0.0,0.0,ProfExe,14200,60570.0,2.0,DebtCon,74648.0,2.0
3148,71.95379,16.0,28.004398,0.0,0.0,Mgr,17000,73184.0,0.0,DebtCon,96889.0,0.0
2015,178.08725,23.0,34.80243,2.0,0.0,Other,12900,61031.0,0.0,HomeImp,71550.0,28.0
2667,170.93895,25.0,41.1575,2.0,0.0,Mgr,15200,90108.0,0.0,HomeImp,118941.0,2.0
2235,271.65674,36.0,40.561985,0.0,0.0,Office,13700,70763.0,5.0,DebtCon,78449.0,12.0
4473,120.34797,19.0,203.31215,,0.0,Sales,23300,103783.0,0.0,DebtCon,132612.0,1.0
4791,288.00803,29.0,32.55084,0.0,0.0,Mgr,25100,77088.0,2.0,DebtCon,111568.0,7.0
4136,111.0681,5.0,19.429085,0.0,0.0,Office,21600,,1.0,HomeImp,65935.0,8.0
5898,96.26607,21.0,29.366966,0.0,0.0,Other,60500,40669.0,0.0,DebtCon,70207.0,3.0
1354,110.77162,6.0,39.735786,0.0,1.0,Other,10600,66590.0,0.0,HomeImp,77465.0,1.0
3890,265.95084,16.0,33.799377,0.0,0.0,Office,20400,99781.0,2.0,DebtCon,128452.0,23.0
2548,114.86667,16.0,,0.0,0.0,Other,15000,96931.0,1.0,DebtCon,137390.0,0.2
1018,83.33329,9.0,25.34348,0.0,0.0,Office,9500,36114.0,0.0,DebtCon,45654.0,0.0
5341,130.36037,58.0,50.353,0.0,4.0,ProfExe,30200,80951.0,0.0,DebtCon,116160.0,19.0
5409,94.24804,5.0,38.662403,0.0,0.0,Other,31500,10879.0,0.0,DebtCon,58089.0,0.0
1988,208.30688,16.0,39.677906,2.0,0.0,Other,12900,105638.0,2.0,DebtCon,112608.0,17.0
3671,301.75357,20.0,43.290943,1.0,0.0,Mgr,19300,99714.0,1.0,HomeImp,126965.0,0.0
590,227.29208,17.0,24.09177,0.0,0.0,ProfExe,7500,67778.0,0.0,DebtCon,83368.0,15.0
1958,,,25.132448,,,,12800,,,,,
5770,209.76703,18.0,39.167065,0.0,0.0,Other,45200,89427.0,8.0,DebtCon,157731.0,17.0
4834,189.13669,22.0,30.746725,0.0,0.0,Office,25300,46780.0,0.0,DebtCon,62536.0,18.0
5437,121.56042,17.0,27.902222,0.0,0.0,ProfExe,32100,120725.0,1.0,DebtCon,168783.0,15.0
3004,,,35.59895,,,,16400,86422.0,,,116097.0,
4512,103.67278,34.0,30.361712,0.0,0.0,ProfExe,23500,147696.0,2.0,,118200.0,4.0
1380,230.3,8.0,,0.0,1.0,Other,10700,34000.0,8.0,HomeImp,49756.0,0.9
3854,156.26932,21.0,28.29044,0.0,0.0,ProfExe,20200,25956.0,0.0,DebtCon,92553.0,7.0
732,69.61717,23.0,37.80543,0.0,0.0,ProfExe,8200,135929.0,1.0,DebtCon,200275.0,0.0
259,200.41843,17.0,22.841093,0.0,0.0,ProfExe,5600,69435.0,1.0,DebtCon,83489.0,14.0
3992,120.21989,10.0,26.22576,,1.0,Self,20900,39244.0,,HomeImp,55582.0,5.0
5654,183.79921,25.0,35.552486,0.0,0.0,Mgr,39800,129611.0,0.0,DebtCon,191175.0,
5555,,0.0,34.443092,0.0,0.0,Other,35600,31807.0,7.0,DebtCon,51823.0,
5422,209.29738,29.0,15.734143,1.0,0.0,ProfExe,31800,226152.0,0.0,DebtCon,283022.0,4.0
1678,123.6,20.0,,0.0,0.0,Other,11900,52814.0,0.0,DebtCon,72000.0,12.0
2169,130.77657,25.0,33.539886,0.0,0.0,,13500,109258.0,1.0,DebtCon,126101.0,2.0
5102,80.792694,16.0,34.268227,0.0,0.0,Mgr,27300,37636.0,6.0,DebtCon,73328.0,12.0
1013,276.78775,28.0,37.82185,0.0,0.0,Other,9400,53244.0,3.0,DebtCon,62245.0,23.0
1685,250.46825,24.0,30.305387,0.0,0.0,Mgr,11900,89595.0,0.0,HomeImp,107895.0,9.0
2276,192.48232,26.0,41.176712,1.0,,ProfExe,13900,155486.0,4.0,DebtCon,178789.0,7.0
3765,117.666664,23.0,,1.0,1.0,ProfExe,20000,68958.0,0.0,DebtCon,99875.0,11.0
4928,218.596,18.0,26.559494,0.0,0.0,Other,26000,100548.0,0.0,DebtCon,207647.0,22.0
274,128.47646,25.0,37.859688,0.0,0.0,Other,5700,76948.0,0.0,HomeImp,85753.0,7.0
1603,128.1236,21.0,37.523323,0.0,0.0,Office,11600,89205.0,0.0,DebtCon,128462.0,10.0
261,91.68377,24.0,37.77335,0.0,0.0,Other,5600,76407.0,0.0,HomeImp,77485.0,9.0
775,183.09274,12.0,23.097202,0.0,0.0,ProfExe,8400,30146.0,0.0,HomeImp,39326.0,11.0
1328,108.27542,22.0,47.079285,0.0,0.0,Other,10500,55267.0,8.0,DebtCon,65160.0,1.0
3469,118.666664,22.0,,2.0,0.0,Office,18300,35975.0,1.0,DebtCon,60500.0,13.0
4097,627.7024,23.0,20.688715,0.0,0.0,ProfExe,21400,64378.0,1.0,HomeImp,99343.0,18.0
4644,296.9304,25.0,38.493134,0.0,0.0,Mgr,24400,119111.0,0.0,DebtCon,154860.0,3.0
520,241.51425,35.0,35.062675,0.0,0.0,Other,7200,57912.0,0.0,HomeImp,84806.0,15.0
2738,126.91272,11.0,35.901463,0.0,0.0,Other,15500,59316.0,3.0,DebtCon,80837.0,1.0
1951,136.62097,14.0,27.12489,0.0,0.0,ProfExe,12800,117391.0,1.0,HomeImp,210072.0,1.0
1510,109.28435,3.0,36.159805,0.0,0.0,Other,11100,35782.0,0.0,HomeImp,45550.0,8.0
5311,239.32162,26.0,24.777985,1.0,0.0,ProfExe,29800,225481.0,1.0,DebtCon,290762.0,13.0
2468,184.77722,26.0,34.48399,0.0,0.0,Other,14800,100255.0,0.0,DebtCon,116160.0,10.0
842,187.58057,28.0,26.367134,0.0,0.0,Other,8700,54768.0,0.0,HomeImp,87268.0,18.0
5766,130.3,22.0,,1.0,0.0,Other,45000,47321.0,0.0,DebtCon,115000.0,
2331,130.34247,8.0,34.79283,0.0,0.0,ProfExe,14100,52302.0,4.0,HomeImp,63589.0,6.0
5101,300.57452,45.0,32.56036,0.0,0.0,Self,27300,106221.0,3.0,DebtCon,137727.0,3.0
3608,309.00546,15.0,42.168358,0.0,0.0,Other,18900,64290.0,3.0,DebtCon,87837.0,2.0
387,147.07716,31.0,31.20613,0.0,0.0,Sales,6400,70035.0,0.0,DebtCon,78635.0,3.0
428,99.3037,17.0,25.231367,0.0,0.0,Other,6700,49367.0,0.0,HomeImp,59609.0,6.0
1663,170.7005,32.0,29.942492,0.0,,ProfExe,11800,112146.0,0.0,DebtCon,140781.0,14.0
1355,244.23354,29.0,32.656532,0.0,3.0,Office,10600,46972.0,2.0,HomeImp,80147.0,12.0
3249,148.91623,18.0,34.387028,0.0,0.0,Other,17400,77350.0,1.0,DebtCon,101271.0,0.0
1271,380.27805,7.0,36.73982,0.0,0.0,Other,10300,,0.0,HomeImp,69085.0,
4340,99.000465,30.0,35.262115,0.0,0.0,Other,22600,72522.0,2.0,DebtCon,91587.0,2.0
3683,64.40761,16.0,40.570168,,,Other,19400,63508.0,1.0,DebtCon,12414.0,5.0
4065,334.06592,27.0,31.87577,5.0,,Mgr,21300,134578.0,0.0,,176968.0,25.0
2083,67.111664,14.0,37.29777,0.0,0.0,Other,13000,80277.0,2.0,DebtCon,106799.0,3.0
2879,129.37451,22.0,39.827217,0.0,0.0,Other,16000,82097.0,0.0,DebtCon,100225.0,0.0
1924,191.90446,55.0,33.90232,0.0,0.0,Office,12700,149272.0,1.0,HomeImp,176467.0,7.0
2054,19.333334,5.0,,0.0,0.0,ProfExe,13000,152029.0,7.0,HomeImp,173750.0,20.0
4244,109.566666,25.0,,0.0,0.0,Other,22100,24000.0,2.0,DebtCon,49000.0,14.4
5599,63.901676,35.0,40.594852,0.0,0.0,Other,37400,96798.0,1.0,DebtCon,145550.0,12.0
2136,214.36205,9.0,36.30955,0.0,0.0,Other,13400,53294.0,0.0,DebtCon,69042.0,0.0
4684,170.62943,26.0,32.93429,1.0,0.0,Mgr,24700,111107.0,1.0,DebtCon,163926.0,15.0
2066,242.65053,18.0,30.893118,0.0,0.0,Other,13100,48153.0,0.0,DebtCon,70059.0,11.0
1259,259.16382,14.0,21.253498,0.0,0.0,Other,10200,16322.0,0.0,DebtCon,86505.0,8.0
2056,285.27594,45.0,35.04547,0.0,0.0,ProfExe,13000,110094.0,0.0,DebtCon,145807.0,2.0
2859,148.13333,27.0,,0.0,1.0,Other,15900,43830.0,1.0,DebtCon,59530.0,4.6
4341,174.32655,15.0,38.74248,,,Office,22600,63363.0,,DebtCon,90816.0,3.0
3525,238.78984,50.0,42.127125,0.0,0.0,Other,18600,23792.0,0.0,HomeImp,79716.0,
1459,125.8,26.0,,0.0,0.0,,11000,102000.0,1.0,DebtCon,120000.0,3.0
5905,136.94781,11.0,40.531822,1.0,0.0,Office,64200,64888.0,0.0,HomeImp,145725.0,10.0
3667,113.45356,25.0,33.498814,1.0,2.0,Other,19300,73668.0,2.0,DebtCon,89061.0,0.0
860,259.6838,29.0,39.829998,0.0,0.0,Other,8700,58060.0,3.0,DebtCon,65605.0,23.0
1997,147.19742,12.0,37.085987,0.0,0.0,Office,12900,67038.0,0.0,DebtCon,110955.0,9.0
2914,101.96046,16.0,35.99498,0.0,0.0,ProfExe,16100,94089.0,0.0,HomeImp,159427.0,6.0
4999,313.2053,30.0,36.359104,0.0,0.0,Sales,26500,112059.0,0.0,DebtCon,179599.0,15.0
2685,325.99844,15.0,15.33556,0.0,0.0,Office,15300,,0.0,DebtCon,92320.0,28.0
4826,366.11014,18.0,36.278442,0.0,0.0,ProfExe,25300,139427.0,1.0,HomeImp,245988.0,28.0
2804,93.04454,8.0,41.255985,0.0,0.0,Office,15700,,2.0,DebtCon,54557.0,2.0
106,209.8713,19.0,20.208033,0.0,0.0,Office,4200,50216.0,0.0,HomeImp,58541.0,19.0
5852,205.65657,16.0,31.029003,,0.0,Office,51500,42041.0,1.0,DebtCon,67770.0,6.0
1004,75.86266,20.0,39.403812,0.0,0.0,Other,9400,61213.0,3.0,HomeImp,70800.0,5.0
269,212.53911,21.0,21.258026,0.0,0.0,Office,5700,49514.0,0.0,HomeImp,58249.0,21.0
243,153.93333,27.0,,3.0,0.0,Other,5500,24700.0,3.0,DebtCon,35675.0,1.0
2253,303.68823,18.0,27.86908,0.0,0.0,ProfExe,13800,85805.0,0.0,DebtCon,135789.0,15.0
5869,102.338684,25.0,38.751995,0.0,0.0,Office,52900,48825.0,1.0,DebtCon,59418.0,13.0
3370,125.858536,16.0,32.847435,,,Office,17900,102054.0,2.0,DebtCon,143103.0,5.0
1668,175.54257,28.0,33.67091,1.0,0.0,ProfExe,11900,85486.0,0.0,HomeImp,109386.0,11.0
3814,171.46666,23.0,,0.0,0.0,Other,20000,116932.0,2.0,HomeImp,138072.0,19.0
3421,136.53001,41.0,33.272297,2.0,7.0,Mgr,18100,23590.0,10.0,DebtCon,215548.0,10.0
3934,228.057,24.0,27.176647,1.0,0.0,Other,20600,16779.0,0.0,DebtCon,56481.0,24.0
1416,119.14584,26.0,40.978634,0.0,0.0,Mgr,10800,83441.0,1.0,DebtCon,92148.0,5.0
4383,,,14.800087,,,,22800,,,,146840.0,
2648,323.102,5.0,40.25293,0.0,0.0,Sales,15200,5076.0,0.0,DebtCon,66536.0,2.0
4025,225.28526,12.0,31.044304,0.0,0.0,Other,21000,67657.0,1.0,HomeImp,100606.0,5.0
4970,234.22154,20.0,37.158295,0.0,0.0,Other,26300,58369.0,1.0,DebtCon,88124.0,7.0
669,189.7,22.0,,0.0,0.0,Mgr,8000,41000.0,1.0,DebtCon,54000.0,4.0
4456,328.51413,30.0,40.04844,0.0,0.0,ProfExe,23200,129355.0,0.0,DebtCon,171709.0,0.0
2925,117.87361,20.0,38.7637,0.0,0.0,Other,16100,105719.0,2.0,DebtCon,116491.0,1.0
5710,326.068,15.0,12.386742,0.0,0.0,ProfExe,42000,9999.0,5.0,HomeImp,50681.0,3.0
4389,628.98193,24.0,20.200302,0.0,0.0,ProfExe,22800,62754.0,0.0,HomeImp,101781.0,19.0
5410,212.75533,29.0,16.62649,1.0,0.0,ProfExe,31500,224572.0,0.0,DebtCon,282839.0,7.0
1514,80.843216,10.0,28.793167,0.0,0.0,Other,11100,50350.0,0.0,DebtCon,58837.0,6.0
2915,64.33574,2.0,29.233015,1.0,0.0,Other,16100,,2.0,HomeImp,30695.0,11.0
782,326.6796,30.0,38.19168,4.0,1.0,Office,8400,48032.0,0.0,HomeImp,95213.0,5.0
5461,294.4307,15.0,40.237072,,,Other,32700,39796.0,0.0,DebtCon,77819.0,
3253,95.36307,17.0,27.10762,0.0,1.0,Mgr,17400,25859.0,1.0,DebtCon,43684.0,16.0
5760,194.23495,37.0,43.33856,1.0,0.0,Other,44000,55604.0,2.0,DebtCon,101916.0,3.0
4837,245.26785,23.0,42.138107,,,Mgr,25400,76194.0,5.0,DebtCon,98188.0,0.0
4490,239.25964,26.0,41.336697,0.0,0.0,Other,23500,90246.0,1.0,DebtCon,119320.0,22.0
1923,227.50739,23.0,34.464302,0.0,0.0,Mgr,12700,79448.0,10.0,DebtCon,91004.0,20.0
3054,209.96666,20.0,,3.0,1.0,Other,16600,42259.0,0.0,DebtCon,,1.5
5663,6.133333,3.0,,0.0,0.0,Self,40000,159000.0,8.0,HomeImp,225000.0,5.0
3738,229.5183,40.0,35.311066,0.0,0.0,Other,19800,13830.0,3.0,DebtCon,85587.0,20.0
1260,158.1858,12.0,32.49749,0.0,0.0,,10200,57142.0,1.0,DebtCon,72664.0,19.0
2445,86.64182,17.0,23.397362,0.0,0.0,Mgr,14700,30210.0,0.0,DebtCon,42751.0,17.0
1947,181.02728,32.0,29.46672,0.0,0.0,ProfExe,12700,107653.0,2.0,HomeImp,129752.0,8.0
5224,162.36667,17.0,,0.0,0.0,ProfExe,28300,105000.0,1.0,DebtCon,147000.0,11.0
4531,224.94135,24.0,41.871758,0.0,0.0,ProfExe,23600,140284.0,0.0,DebtCon,182591.0,21.0
2545,20.166666,2.0,,1.0,0.0,Other,15000,18500.0,0.0,DebtCon,19000.0,2.0
5258,85.62552,15.0,33.975815,0.0,1.0,Mgr,28600,39009.0,6.0,DebtCon,75893.0,12.0
5252,113.205925,6.0,36.877098,0.0,0.0,Office,28500,29338.0,1.0,,62220.0,2.0
2116,127.76667,9.0,,0.0,0.0,ProfExe,13300,45860.0,4.0,HomeImp,63500.0,7.0
1513,80.368195,20.0,37.4908,1.0,0.0,Other,11100,43167.0,0.0,DebtCon,60209.0,3.0
3044,263.76624,23.0,28.674702,0.0,0.0,Other,16600,9626.0,0.0,HomeImp,96887.0,14.0
4217,191.31361,19.0,34.92102,0.0,0.0,Mgr,22000,71664.0,1.0,DebtCon,98015.0,9.0
2787,247.96507,21.0,30.326399,0.0,0.0,Mgr,15700,135886.0,0.0,DebtCon,181894.0,10.0
2773,110.42995,25.0,39.212803,0.0,0.0,ProfExe,15600,89312.0,1.0,HomeImp,110431.0,2.0
3418,256.20547,21.0,27.384117,0.0,0.0,Mgr,18100,144692.0,0.0,DebtCon,183630.0,11.0
232,199.9,20.0,,1.0,0.0,ProfExe,5400,59720.0,1.0,HomeImp,63450.0,5.0
1392,270.26517,16.0,33.65829,0.0,0.0,Office,10800,98568.0,0.0,,121994.0,15.0
5,101.466,8.0,37.113613,0.0,0.0,Other,1700,30548.0,1.0,HomeImp,40320.0,9.0
4985,172.57083,17.0,43.358192,0.0,0.0,Self,26400,153853.0,0.0,HomeImp,188760.0,2.0
2782,272.50305,43.0,39.301823,0.0,0.0,Other,15600,51990.0,3.0,DebtCon,141518.0,1.0
2521,138.16667,18.0,,0.0,0.0,Mgr,15000,399550.0,1.0,HomeImp,,0.9
1571,271.23804,46.0,33.25108,0.0,0.0,ProfExe,11400,112930.0,1.0,DebtCon,144830.0,2.0
2608,11.7,35.0,,0.0,0.0,Sales,15000,77544.0,2.0,DebtCon,102000.0,4.0
4583,135.19852,11.0,25.357164,,1.0,Self,24000,31243.0,,HomeImp,50602.0,3.0
4062,197.1482,15.0,30.5454,0.0,0.0,Mgr,21300,133942.0,0.0,HomeImp,282972.0,3.0
4996,194.22774,16.0,40.854866,0.0,0.0,Self,26500,145393.0,1.0,HomeImp,187324.0,3.0
452,48.818836,3.0,40.78739,0.0,0.0,Office,6800,,0.0,HomeImp,72310.0,1.0
5539,210.50182,50.0,42.96751,1.0,0.0,Mgr,35000,240994.0,3.0,DebtCon,39401.0,3.0
5243,210.02505,26.0,37.301765,0.0,0.0,Other,28500,49461.0,0.0,DebtCon,83352.0,21.0
4392,,,15.938058,,,,22900,,,,148018.0,
2029,212.38692,24.0,36.728745,3.0,0.0,Other,13000,53951.0,1.0,HomeImp,70095.0,28.0
4817,188.57466,27.0,39.963886,0.0,0.0,ProfExe,25200,137054.0,0.0,HomeImp,207511.0,4.0
174,107.13333,5.0,,3.0,0.0,Other,5000,,10.0,HomeImp,37500.0,
1097,,4.0,31.29012,0.0,4.0,Other,9800,79767.0,0.0,DebtCon,93525.0,0.0
3352,86.70262,21.0,31.35961,0.0,0.0,Mgr,17800,13839.0,2.0,HomeImp,171378.0,23.0
3806,95.36667,49.0,,1.0,1.0,Other,20000,104000.0,4.0,DebtCon,139900.0,15.0
3642,207.15517,21.0,36.141777,0.0,0.0,ProfExe,19100,129111.0,0.0,HomeImp,197592.0,12.0
4563,252.07355,50.0,38.07409,0.0,0.0,Self,23900,236803.0,1.0,HomeImp,267036.0,7.0
4898,104.5662,26.0,29.296633,1.0,2.0,Other,25700,23047.0,2.0,DebtCon,76575.0,
2540,75.4,9.0,,0.0,0.0,Other,15000,48786.0,2.0,DebtCon,72500.0,10.0
2379,217.27719,9.0,34.095383,0.0,0.0,Other,14300,52608.0,0.0,DebtCon,76936.0,0.0
3202,287.2609,23.0,30.098797,1.0,0.0,Other,17200,6126.0,0.0,HomeImp,88603.0,13.0
2111,157.91699,34.0,29.798231,,,Other,13300,64002.0,,DebtCon,88174.0,3.0
5008,225.32367,19.0,35.734856,0.0,1.0,Other,26500,134952.0,1.0,DebtCon,165451.0,8.0
1286,99.433334,32.0,,1.0,0.0,Other,10300,39893.0,2.0,DebtCon,55000.0,1.5
4361,175.33937,24.0,38.25659,0.0,0.0,Other,22700,75354.0,1.0,DebtCon,106186.0,
4932,152.35397,20.0,36.356308,0.0,0.0,Office,26000,75034.0,0.0,DebtCon,100852.0,10.0
3580,110.566666,33.0,,1.0,2.0,Other,18800,63836.0,2.0,DebtCon,87000.0,8.0
1556,85.66483,34.0,35.947853,0.0,0.0,ProfExe,11300,74783.0,0.0,HomeImp,100909.0,5.0
3007,101.49537,15.0,41.457024,0.0,0.0,Other,16500,44330.0,2.0,DebtCon,72618.0,6.0
727,60.38486,24.0,39.726105,0.0,0.0,ProfExe,8200,66254.0,1.0,DebtCon,74994.0,7.0
4400,181.82605,16.0,39.391354,,,Office,22900,64350.0,,DebtCon,93126.0,6.0
347,210.17307,23.0,34.05481,0.0,0.0,ProfExe,6200,60354.0,2.0,HomeImp,87596.0,5.0
3563,160.71129,20.0,32.784195,0.0,0.0,Office,18700,66891.0,3.0,DebtCon,94454.0,0.0
4737,133.36667,42.0,,0.0,0.0,Other,25000,199000.0,1.0,HomeImp,236200.0,8.0
3428,356.90906,10.0,40.874382,0.0,0.0,Other,18100,22203.0,1.0,DebtCon,138057.0,8.0
3147,115.375336,21.0,37.508625,0.0,0.0,ProfExe,17000,54780.0,1.0,DebtCon,93091.0,4.0
1466,,,,,,Other,11000,41000.0,,HomeImp,63450.0,2.9
